// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 8 benchmarks:
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_ExistingBuffer2: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_ExistingBuffer2: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FUMGBY(Toolchain=InProcessEmitToolchain)

WorkloadWarmup   1: 8388608 op, 790954100.00 ns, 94.2891 ns/op
WorkloadWarmup   2: 8388608 op, 790437800.00 ns, 94.2275 ns/op
WorkloadWarmup   3: 8388608 op, 797755100.00 ns, 95.0998 ns/op
WorkloadWarmup   4: 8388608 op, 791520000.00 ns, 94.3565 ns/op
WorkloadWarmup   5: 8388608 op, 795649500.00 ns, 94.8488 ns/op
WorkloadWarmup   6: 8388608 op, 785618500.00 ns, 93.6530 ns/op

WorkloadActual   1: 8388608 op, 792264400.00 ns, 94.4453 ns/op
WorkloadActual   2: 8388608 op, 787797500.00 ns, 93.9128 ns/op
WorkloadActual   3: 8388608 op, 784063200.00 ns, 93.4676 ns/op
WorkloadActual   4: 8388608 op, 789476100.00 ns, 94.1129 ns/op
WorkloadActual   5: 8388608 op, 814260900.00 ns, 97.0675 ns/op
WorkloadActual   6: 8388608 op, 788789300.00 ns, 94.0310 ns/op
WorkloadActual   7: 8388608 op, 792710700.00 ns, 94.4985 ns/op
WorkloadActual   8: 8388608 op, 785191200.00 ns, 93.6021 ns/op
WorkloadActual   9: 8388608 op, 786708200.00 ns, 93.7829 ns/op
WorkloadActual  10: 8388608 op, 791804600.00 ns, 94.3905 ns/op
WorkloadActual  11: 8388608 op, 804438200.00 ns, 95.8965 ns/op
WorkloadActual  12: 8388608 op, 797404300.00 ns, 95.0580 ns/op
WorkloadActual  13: 8388608 op, 802945100.00 ns, 95.7185 ns/op
WorkloadActual  14: 8388608 op, 791399500.00 ns, 94.3422 ns/op
WorkloadActual  15: 8388608 op, 787388800.00 ns, 93.8641 ns/op

WorkloadResult   1: 8388608 op, 753545600.00 ns, 89.8296 ns/op
WorkloadResult   2: 8388608 op, 749078700.00 ns, 89.2971 ns/op
WorkloadResult   3: 8388608 op, 745344400.00 ns, 88.8520 ns/op
WorkloadResult   4: 8388608 op, 750757300.00 ns, 89.4972 ns/op
WorkloadResult   5: 8388608 op, 750070500.00 ns, 89.4154 ns/op
WorkloadResult   6: 8388608 op, 753991900.00 ns, 89.8828 ns/op
WorkloadResult   7: 8388608 op, 746472400.00 ns, 88.9864 ns/op
WorkloadResult   8: 8388608 op, 747989400.00 ns, 89.1673 ns/op
WorkloadResult   9: 8388608 op, 753085800.00 ns, 89.7748 ns/op
WorkloadResult  10: 8388608 op, 765719400.00 ns, 91.2809 ns/op
WorkloadResult  11: 8388608 op, 758685500.00 ns, 90.4424 ns/op
WorkloadResult  12: 8388608 op, 764226300.00 ns, 91.1029 ns/op
WorkloadResult  13: 8388608 op, 752680700.00 ns, 89.7265 ns/op
WorkloadResult  14: 8388608 op, 748670000.00 ns, 89.2484 ns/op
GC:  46 0 0 872415232 8388608


Mean = 89.7503 ns, StdErr = 0.1967 ns (0.22%); N = 14, StdDev = 0.7359 ns
Min = 88.8520 ns, Q1 = 89.2484 ns, Median = 89.6119 ns, Q3 = 89.8828 ns, Max = 91.2809 ns
IQR = 0.6344 ns, LowerFence = 88.2968 ns, UpperFence = 90.8345 ns
ConfidenceInterval = [88.9201 ns; 90.5804 ns] (CI 99.9%), Margin = 0.8301 ns (0.92% of Mean)
Skewness = 0.85, Kurtosis = 2.51, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FUMGBY(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 388500.00 ns, 388.5000 us/op
WorkloadJitting  1: 1 op, 6093600.00 ns, 6.0936 ms/op

OverheadJitting  2: 16 op, 987300.00 ns, 61.7062 us/op
WorkloadJitting  2: 16 op, 1277400.00 ns, 79.8375 us/op

WorkloadPilot    1: 16 op, 23800.00 ns, 1.4875 us/op
WorkloadPilot    2: 32 op, 14900.00 ns, 465.6250 ns/op
WorkloadPilot    3: 64 op, 33700.00 ns, 526.5625 ns/op
WorkloadPilot    4: 128 op, 45000.00 ns, 351.5625 ns/op
WorkloadPilot    5: 256 op, 70600.00 ns, 275.7812 ns/op
WorkloadPilot    6: 512 op, 148800.00 ns, 290.6250 ns/op
WorkloadPilot    7: 1024 op, 199300.00 ns, 194.6289 ns/op
WorkloadPilot    8: 2048 op, 604800.00 ns, 295.3125 ns/op
WorkloadPilot    9: 4096 op, 726300.00 ns, 177.3193 ns/op
WorkloadPilot   10: 8192 op, 1424200.00 ns, 173.8525 ns/op
WorkloadPilot   11: 16384 op, 2804900.00 ns, 171.1975 ns/op
WorkloadPilot   12: 32768 op, 6791100.00 ns, 207.2479 ns/op
WorkloadPilot   13: 65536 op, 12649100.00 ns, 193.0099 ns/op
WorkloadPilot   14: 131072 op, 22622400.00 ns, 172.5952 ns/op
WorkloadPilot   15: 262144 op, 47368700.00 ns, 180.6973 ns/op
WorkloadPilot   16: 524288 op, 90981200.00 ns, 173.5329 ns/op
WorkloadPilot   17: 1048576 op, 179960300.00 ns, 171.6235 ns/op
WorkloadPilot   18: 2097152 op, 361239800.00 ns, 172.2526 ns/op
WorkloadPilot   19: 4194304 op, 771105000.00 ns, 183.8458 ns/op

OverheadWarmup   1: 4194304 op, 19862200.00 ns, 4.7355 ns/op
OverheadWarmup   2: 4194304 op, 19376400.00 ns, 4.6197 ns/op
OverheadWarmup   3: 4194304 op, 20312100.00 ns, 4.8428 ns/op
OverheadWarmup   4: 4194304 op, 19928200.00 ns, 4.7513 ns/op
OverheadWarmup   5: 4194304 op, 19517800.00 ns, 4.6534 ns/op
OverheadWarmup   6: 4194304 op, 19183900.00 ns, 4.5738 ns/op
OverheadWarmup   7: 4194304 op, 19067400.00 ns, 4.5460 ns/op
OverheadWarmup   8: 4194304 op, 19652200.00 ns, 4.6854 ns/op
OverheadWarmup   9: 4194304 op, 19652300.00 ns, 4.6855 ns/op
OverheadWarmup  10: 4194304 op, 19942900.00 ns, 4.7548 ns/op

OverheadActual   1: 4194304 op, 19895100.00 ns, 4.7434 ns/op
OverheadActual   2: 4194304 op, 19259500.00 ns, 4.5918 ns/op
OverheadActual   3: 4194304 op, 19415500.00 ns, 4.6290 ns/op
OverheadActual   4: 4194304 op, 18569000.00 ns, 4.4272 ns/op
OverheadActual   5: 4194304 op, 19777000.00 ns, 4.7152 ns/op
OverheadActual   6: 4194304 op, 19329300.00 ns, 4.6085 ns/op
OverheadActual   7: 4194304 op, 19888500.00 ns, 4.7418 ns/op
OverheadActual   8: 4194304 op, 20289300.00 ns, 4.8373 ns/op
OverheadActual   9: 4194304 op, 19791100.00 ns, 4.7186 ns/op
OverheadActual  10: 4194304 op, 19598100.00 ns, 4.6726 ns/op
OverheadActual  11: 4194304 op, 18858800.00 ns, 4.4963 ns/op
OverheadActual  12: 4194304 op, 20281000.00 ns, 4.8354 ns/op
OverheadActual  13: 4194304 op, 20713900.00 ns, 4.9386 ns/op
OverheadActual  14: 4194304 op, 20105300.00 ns, 4.7935 ns/op
OverheadActual  15: 4194304 op, 19952500.00 ns, 4.7570 ns/op

WorkloadWarmup   1: 4194304 op, 741147800.00 ns, 176.7034 ns/op
WorkloadWarmup   2: 4194304 op, 812493800.00 ns, 193.7136 ns/op
WorkloadWarmup   3: 4194304 op, 723536200.00 ns, 172.5045 ns/op
WorkloadWarmup   4: 4194304 op, 823008300.00 ns, 196.2205 ns/op
WorkloadWarmup   5: 4194304 op, 839353500.00 ns, 200.1175 ns/op
WorkloadWarmup   6: 4194304 op, 829574600.00 ns, 197.7860 ns/op

WorkloadActual   1: 4194304 op, 855597600.00 ns, 203.9904 ns/op
WorkloadActual   2: 4194304 op, 833319300.00 ns, 198.6788 ns/op
WorkloadActual   3: 4194304 op, 842037400.00 ns, 200.7574 ns/op
WorkloadActual   4: 4194304 op, 829983400.00 ns, 197.8835 ns/op
WorkloadActual   5: 4194304 op, 856837900.00 ns, 204.2861 ns/op
WorkloadActual   6: 4194304 op, 837867600.00 ns, 199.7632 ns/op
WorkloadActual   7: 4194304 op, 839553300.00 ns, 200.1651 ns/op
WorkloadActual   8: 4194304 op, 827971200.00 ns, 197.4037 ns/op
WorkloadActual   9: 4194304 op, 831234800.00 ns, 198.1818 ns/op
WorkloadActual  10: 4194304 op, 827355300.00 ns, 197.2569 ns/op
WorkloadActual  11: 4194304 op, 832378300.00 ns, 198.4545 ns/op
WorkloadActual  12: 4194304 op, 841012400.00 ns, 200.5130 ns/op
WorkloadActual  13: 4194304 op, 834722700.00 ns, 199.0134 ns/op
WorkloadActual  14: 4194304 op, 861655200.00 ns, 205.4346 ns/op
WorkloadActual  15: 4194304 op, 924373800.00 ns, 220.3879 ns/op

WorkloadResult   1: 4194304 op, 835806500.00 ns, 199.2718 ns/op
WorkloadResult   2: 4194304 op, 813528200.00 ns, 193.9602 ns/op
WorkloadResult   3: 4194304 op, 822246300.00 ns, 196.0388 ns/op
WorkloadResult   4: 4194304 op, 810192300.00 ns, 193.1649 ns/op
WorkloadResult   5: 4194304 op, 837046800.00 ns, 199.5675 ns/op
WorkloadResult   6: 4194304 op, 818076500.00 ns, 195.0446 ns/op
WorkloadResult   7: 4194304 op, 819762200.00 ns, 195.4465 ns/op
WorkloadResult   8: 4194304 op, 808180100.00 ns, 192.6852 ns/op
WorkloadResult   9: 4194304 op, 811443700.00 ns, 193.4633 ns/op
WorkloadResult  10: 4194304 op, 807564200.00 ns, 192.5383 ns/op
WorkloadResult  11: 4194304 op, 812587200.00 ns, 193.7359 ns/op
WorkloadResult  12: 4194304 op, 821221300.00 ns, 195.7944 ns/op
WorkloadResult  13: 4194304 op, 814931600.00 ns, 194.2948 ns/op
WorkloadResult  14: 4194304 op, 841864100.00 ns, 200.7160 ns/op
GC:  23 0 0 436207768 4194304


Mean = 195.4087 ns, StdErr = 0.7097 ns (0.36%); N = 14, StdDev = 2.6556 ns
Min = 192.5383 ns, Q1 = 193.4633 ns, Median = 194.6697 ns, Q3 = 196.0388 ns, Max = 200.7160 ns
IQR = 2.5755 ns, LowerFence = 189.5999 ns, UpperFence = 199.9021 ns
ConfidenceInterval = [192.4130 ns; 198.4044 ns] (CI 99.9%), Margin = 2.9957 ns (1.53% of Mean)
Skewness = 0.79, Kurtosis = 2.14, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FUMGBY(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 467500.00 ns, 467.5000 us/op
WorkloadJitting  1: 1 op, 5019700.00 ns, 5.0197 ms/op

OverheadJitting  2: 16 op, 1072300.00 ns, 67.0187 us/op
WorkloadJitting  2: 16 op, 1050300.00 ns, 65.6437 us/op

WorkloadPilot    1: 16 op, 27000.00 ns, 1.6875 us/op
WorkloadPilot    2: 32 op, 9700.00 ns, 303.1250 ns/op
WorkloadPilot    3: 64 op, 12600.00 ns, 196.8750 ns/op
WorkloadPilot    4: 128 op, 27300.00 ns, 213.2812 ns/op
WorkloadPilot    5: 256 op, 30600.00 ns, 119.5312 ns/op
WorkloadPilot    6: 512 op, 63800.00 ns, 124.6094 ns/op
WorkloadPilot    7: 1024 op, 118500.00 ns, 115.7227 ns/op
WorkloadPilot    8: 2048 op, 221500.00 ns, 108.1543 ns/op
WorkloadPilot    9: 4096 op, 410700.00 ns, 100.2686 ns/op
WorkloadPilot   10: 8192 op, 975700.00 ns, 119.1040 ns/op
WorkloadPilot   11: 16384 op, 1751300.00 ns, 106.8909 ns/op
WorkloadPilot   12: 32768 op, 3652200.00 ns, 111.4563 ns/op
WorkloadPilot   13: 65536 op, 6698000.00 ns, 102.2034 ns/op
WorkloadPilot   14: 131072 op, 13879400.00 ns, 105.8914 ns/op
WorkloadPilot   15: 262144 op, 29551400.00 ns, 112.7296 ns/op
WorkloadPilot   16: 524288 op, 53925500.00 ns, 102.8547 ns/op
WorkloadPilot   17: 1048576 op, 108564200.00 ns, 103.5349 ns/op
WorkloadPilot   18: 2097152 op, 237193000.00 ns, 113.1024 ns/op
WorkloadPilot   19: 4194304 op, 452693600.00 ns, 107.9306 ns/op
WorkloadPilot   20: 8388608 op, 872001200.00 ns, 103.9506 ns/op

OverheadWarmup   1: 8388608 op, 44162100.00 ns, 5.2645 ns/op
OverheadWarmup   2: 8388608 op, 44098900.00 ns, 5.2570 ns/op
OverheadWarmup   3: 8388608 op, 44712100.00 ns, 5.3301 ns/op
OverheadWarmup   4: 8388608 op, 53985100.00 ns, 6.4355 ns/op
OverheadWarmup   5: 8388608 op, 46853100.00 ns, 5.5853 ns/op
OverheadWarmup   6: 8388608 op, 47552600.00 ns, 5.6687 ns/op
OverheadWarmup   7: 8388608 op, 59093900.00 ns, 7.0445 ns/op
OverheadWarmup   8: 8388608 op, 46074500.00 ns, 5.4925 ns/op

OverheadActual   1: 8388608 op, 46456300.00 ns, 5.5380 ns/op
OverheadActual   2: 8388608 op, 44909500.00 ns, 5.3536 ns/op
OverheadActual   3: 8388608 op, 44192100.00 ns, 5.2681 ns/op
OverheadActual   4: 8388608 op, 45800400.00 ns, 5.4598 ns/op
OverheadActual   5: 8388608 op, 44052000.00 ns, 5.2514 ns/op
OverheadActual   6: 8388608 op, 44087200.00 ns, 5.2556 ns/op
OverheadActual   7: 8388608 op, 44193200.00 ns, 5.2682 ns/op
OverheadActual   8: 8388608 op, 44193500.00 ns, 5.2683 ns/op
OverheadActual   9: 8388608 op, 44230600.00 ns, 5.2727 ns/op
OverheadActual  10: 8388608 op, 44178400.00 ns, 5.2665 ns/op
OverheadActual  11: 8388608 op, 44039800.00 ns, 5.2500 ns/op
OverheadActual  12: 8388608 op, 44082300.00 ns, 5.2550 ns/op
OverheadActual  13: 8388608 op, 45184200.00 ns, 5.3864 ns/op
OverheadActual  14: 8388608 op, 45289800.00 ns, 5.3990 ns/op
OverheadActual  15: 8388608 op, 44090800.00 ns, 5.2560 ns/op

WorkloadWarmup   1: 8388608 op, 869002700.00 ns, 103.5932 ns/op
WorkloadWarmup   2: 8388608 op, 885939000.00 ns, 105.6122 ns/op
WorkloadWarmup   3: 8388608 op, 874347200.00 ns, 104.2303 ns/op
WorkloadWarmup   4: 8388608 op, 888360600.00 ns, 105.9008 ns/op
WorkloadWarmup   5: 8388608 op, 878705500.00 ns, 104.7499 ns/op
WorkloadWarmup   6: 8388608 op, 867735500.00 ns, 103.4421 ns/op

WorkloadActual   1: 8388608 op, 870915200.00 ns, 103.8212 ns/op
WorkloadActual   2: 8388608 op, 874056100.00 ns, 104.1956 ns/op
WorkloadActual   3: 8388608 op, 895951800.00 ns, 106.8058 ns/op
WorkloadActual   4: 8388608 op, 872731700.00 ns, 104.0377 ns/op
WorkloadActual   5: 8388608 op, 870640300.00 ns, 103.7884 ns/op
WorkloadActual   6: 8388608 op, 876532800.00 ns, 104.4909 ns/op
WorkloadActual   7: 8388608 op, 873938200.00 ns, 104.1816 ns/op
WorkloadActual   8: 8388608 op, 870386100.00 ns, 103.7581 ns/op
WorkloadActual   9: 8388608 op, 872617800.00 ns, 104.0241 ns/op
WorkloadActual  10: 8388608 op, 868539900.00 ns, 103.5380 ns/op
WorkloadActual  11: 8388608 op, 881560000.00 ns, 105.0901 ns/op
WorkloadActual  12: 8388608 op, 874670200.00 ns, 104.2688 ns/op
WorkloadActual  13: 8388608 op, 875120000.00 ns, 104.3224 ns/op
WorkloadActual  14: 8388608 op, 888014800.00 ns, 105.8596 ns/op
WorkloadActual  15: 8388608 op, 871998800.00 ns, 103.9504 ns/op

WorkloadResult   1: 8388608 op, 826722000.00 ns, 98.5529 ns/op
WorkloadResult   2: 8388608 op, 829862900.00 ns, 98.9274 ns/op
WorkloadResult   3: 8388608 op, 828538500.00 ns, 98.7695 ns/op
WorkloadResult   4: 8388608 op, 826447100.00 ns, 98.5202 ns/op
WorkloadResult   5: 8388608 op, 832339600.00 ns, 99.2226 ns/op
WorkloadResult   6: 8388608 op, 829745000.00 ns, 98.9133 ns/op
WorkloadResult   7: 8388608 op, 826192900.00 ns, 98.4899 ns/op
WorkloadResult   8: 8388608 op, 828424600.00 ns, 98.7559 ns/op
WorkloadResult   9: 8388608 op, 824346700.00 ns, 98.2698 ns/op
WorkloadResult  10: 8388608 op, 837366800.00 ns, 99.8219 ns/op
WorkloadResult  11: 8388608 op, 830477000.00 ns, 99.0006 ns/op
WorkloadResult  12: 8388608 op, 830926800.00 ns, 99.0542 ns/op
WorkloadResult  13: 8388608 op, 827805600.00 ns, 98.6821 ns/op
GC:  46 0 0 872415232 8388608


Mean = 98.8446 ns, StdErr = 0.1093 ns (0.11%); N = 13, StdDev = 0.3942 ns
Min = 98.2698 ns, Q1 = 98.5366 ns, Median = 98.7695 ns, Q3 = 99.0274 ns, Max = 99.8219 ns
IQR = 0.4908 ns, LowerFence = 97.8003 ns, UpperFence = 99.7636 ns
ConfidenceInterval = [98.3726 ns; 99.3167 ns] (CI 99.9%), Margin = 0.4720 ns (0.48% of Mean)
Skewness = 0.88, Kurtosis = 3.44, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_ExistingBuffer2: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FUMGBY(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 471800.00 ns, 471.8000 us/op
WorkloadJitting  1: 1 op, 6141300.00 ns, 6.1413 ms/op

OverheadJitting  2: 16 op, 1163700.00 ns, 72.7313 us/op
WorkloadJitting  2: 16 op, 1036900.00 ns, 64.8063 us/op

WorkloadPilot    1: 16 op, 18700.00 ns, 1.1687 us/op
WorkloadPilot    2: 32 op, 8600.00 ns, 268.7500 ns/op
WorkloadPilot    3: 64 op, 14900.00 ns, 232.8125 ns/op
WorkloadPilot    4: 128 op, 20000.00 ns, 156.2500 ns/op
WorkloadPilot    5: 256 op, 69400.00 ns, 271.0938 ns/op
WorkloadPilot    6: 512 op, 68900.00 ns, 134.5703 ns/op
WorkloadPilot    7: 1024 op, 125600.00 ns, 122.6562 ns/op
WorkloadPilot    8: 2048 op, 249500.00 ns, 121.8262 ns/op
WorkloadPilot    9: 4096 op, 446100.00 ns, 108.9111 ns/op
WorkloadPilot   10: 8192 op, 937900.00 ns, 114.4897 ns/op
WorkloadPilot   11: 16384 op, 2031700.00 ns, 124.0051 ns/op
WorkloadPilot   12: 32768 op, 3660400.00 ns, 111.7065 ns/op
WorkloadPilot   13: 65536 op, 7144700.00 ns, 109.0195 ns/op
WorkloadPilot   14: 131072 op, 14595800.00 ns, 111.3571 ns/op
WorkloadPilot   15: 262144 op, 30298100.00 ns, 115.5781 ns/op
WorkloadPilot   16: 524288 op, 59302400.00 ns, 113.1104 ns/op
WorkloadPilot   17: 1048576 op, 118758000.00 ns, 113.2565 ns/op
WorkloadPilot   18: 2097152 op, 239947100.00 ns, 114.4157 ns/op
WorkloadPilot   19: 4194304 op, 477374100.00 ns, 113.8149 ns/op
WorkloadPilot   20: 8388608 op, 945181200.00 ns, 112.6744 ns/op

OverheadWarmup   1: 8388608 op, 39540200.00 ns, 4.7136 ns/op
OverheadWarmup   2: 8388608 op, 39767300.00 ns, 4.7406 ns/op
OverheadWarmup   3: 8388608 op, 39635300.00 ns, 4.7249 ns/op
OverheadWarmup   4: 8388608 op, 39396500.00 ns, 4.6964 ns/op
OverheadWarmup   5: 8388608 op, 39613700.00 ns, 4.7223 ns/op
OverheadWarmup   6: 8388608 op, 39734700.00 ns, 4.7367 ns/op
OverheadWarmup   7: 8388608 op, 39119900.00 ns, 4.6635 ns/op

OverheadActual   1: 8388608 op, 39527900.00 ns, 4.7121 ns/op
OverheadActual   2: 8388608 op, 41051500.00 ns, 4.8937 ns/op
OverheadActual   3: 8388608 op, 39481900.00 ns, 4.7066 ns/op
OverheadActual   4: 8388608 op, 39691200.00 ns, 4.7316 ns/op
OverheadActual   5: 8388608 op, 39395300.00 ns, 4.6963 ns/op
OverheadActual   6: 8388608 op, 39547400.00 ns, 4.7144 ns/op
OverheadActual   7: 8388608 op, 39535700.00 ns, 4.7130 ns/op
