// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain)
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain)
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-DJHQMX(Toolchain=InProcessEmitToolchain)

WorkloadResult   3: 8388608 op, 662076400.00 ns, 78.9257 ns/op
WorkloadResult   4: 8388608 op, 660823300.00 ns, 78.7763 ns/op
WorkloadResult   5: 8388608 op, 658777100.00 ns, 78.5324 ns/op
WorkloadResult   6: 8388608 op, 663244800.00 ns, 79.0649 ns/op
WorkloadResult   7: 8388608 op, 662554000.00 ns, 78.9826 ns/op
WorkloadResult   8: 8388608 op, 658074500.00 ns, 78.4486 ns/op
WorkloadResult   9: 8388608 op, 669234700.00 ns, 79.7790 ns/op
WorkloadResult  10: 8388608 op, 667544000.00 ns, 79.5774 ns/op
WorkloadResult  11: 8388608 op, 667517600.00 ns, 79.5743 ns/op
WorkloadResult  12: 8388608 op, 670275300.00 ns, 79.9030 ns/op
WorkloadResult  13: 8388608 op, 665751700.00 ns, 79.3638 ns/op
GC:  46 0 0 872415232 8388608


Mean = 79.1077 ns, StdErr = 0.1442 ns (0.18%); N = 13, StdDev = 0.5198 ns
Min = 78.2602 ns, Q1 = 78.6543 ns, Median = 79.0649 ns, Q3 = 79.5759 ns, Max = 79.9030 ns
IQR = 0.9216 ns, LowerFence = 77.2720 ns, UpperFence = 80.9582 ns
ConfidenceInterval = [78.4853 ns; 79.7302 ns] (CI 99.9%), Margin = 0.6225 ns (0.79% of Mean)
Skewness = -0.06, Kurtosis = 1.61, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-DJHQMX(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 589800.00 ns, 589.8000 us/op
WorkloadJitting  1: 1 op, 5441100.00 ns, 5.4411 ms/op

OverheadJitting  2: 16 op, 1424000.00 ns, 89.0000 us/op
WorkloadJitting  2: 16 op, 884100.00 ns, 55.2563 us/op

WorkloadPilot    1: 16 op, 69700.00 ns, 4.3563 us/op
WorkloadPilot    2: 32 op, 14700.00 ns, 459.3750 ns/op
WorkloadPilot    3: 64 op, 40100.00 ns, 626.5625 ns/op
WorkloadPilot    4: 128 op, 58800.00 ns, 459.3750 ns/op
WorkloadPilot    5: 256 op, 63000.00 ns, 246.0938 ns/op
WorkloadPilot    6: 512 op, 108900.00 ns, 212.6953 ns/op
WorkloadPilot    7: 1024 op, 173600.00 ns, 169.5312 ns/op
WorkloadPilot    8: 2048 op, 542400.00 ns, 264.8438 ns/op
WorkloadPilot    9: 4096 op, 729000.00 ns, 177.9785 ns/op
WorkloadPilot   10: 8192 op, 1421300.00 ns, 173.4985 ns/op
WorkloadPilot   11: 16384 op, 3938600.00 ns, 240.3931 ns/op
WorkloadPilot   12: 32768 op, 5396300.00 ns, 164.6820 ns/op
WorkloadPilot   13: 65536 op, 10885200.00 ns, 166.0950 ns/op
WorkloadPilot   14: 131072 op, 21596800.00 ns, 164.7705 ns/op
WorkloadPilot   15: 262144 op, 43615700.00 ns, 166.3807 ns/op
WorkloadPilot   16: 524288 op, 85048100.00 ns, 162.2164 ns/op
WorkloadPilot   17: 1048576 op, 166584300.00 ns, 158.8672 ns/op
WorkloadPilot   18: 2097152 op, 331524500.00 ns, 158.0832 ns/op
WorkloadPilot   19: 4194304 op, 658396000.00 ns, 156.9738 ns/op

OverheadWarmup   1: 4194304 op, 19116800.00 ns, 4.5578 ns/op
OverheadWarmup   2: 4194304 op, 20161900.00 ns, 4.8070 ns/op
OverheadWarmup   3: 4194304 op, 19345400.00 ns, 4.6123 ns/op
OverheadWarmup   4: 4194304 op, 19848000.00 ns, 4.7321 ns/op
OverheadWarmup   5: 4194304 op, 18897800.00 ns, 4.5056 ns/op

OverheadActual   1: 4194304 op, 20051400.00 ns, 4.7806 ns/op
OverheadActual   2: 4194304 op, 19109900.00 ns, 4.5562 ns/op
OverheadActual   3: 4194304 op, 19685400.00 ns, 4.6934 ns/op
OverheadActual   4: 4194304 op, 18840800.00 ns, 4.4920 ns/op
OverheadActual   5: 4194304 op, 19103300.00 ns, 4.5546 ns/op
OverheadActual   6: 4194304 op, 19258800.00 ns, 4.5917 ns/op
OverheadActual   7: 4194304 op, 19026600.00 ns, 4.5363 ns/op
OverheadActual   8: 4194304 op, 18912400.00 ns, 4.5091 ns/op
OverheadActual   9: 4194304 op, 19461500.00 ns, 4.6400 ns/op
OverheadActual  10: 4194304 op, 19614700.00 ns, 4.6765 ns/op
OverheadActual  11: 4194304 op, 19104200.00 ns, 4.5548 ns/op
OverheadActual  12: 4194304 op, 19679000.00 ns, 4.6918 ns/op
OverheadActual  13: 4194304 op, 18950400.00 ns, 4.5181 ns/op
OverheadActual  14: 4194304 op, 18852300.00 ns, 4.4947 ns/op
OverheadActual  15: 4194304 op, 20372700.00 ns, 4.8572 ns/op

WorkloadWarmup   1: 4194304 op, 690218300.00 ns, 164.5609 ns/op
WorkloadWarmup   2: 4194304 op, 663308100.00 ns, 158.1450 ns/op
WorkloadWarmup   3: 4194304 op, 697100800.00 ns, 166.2018 ns/op
WorkloadWarmup   4: 4194304 op, 659386900.00 ns, 157.2101 ns/op
WorkloadWarmup   5: 4194304 op, 667685400.00 ns, 159.1886 ns/op
WorkloadWarmup   6: 4194304 op, 667390000.00 ns, 159.1182 ns/op

WorkloadActual   1: 4194304 op, 663707500.00 ns, 158.2402 ns/op
WorkloadActual   2: 4194304 op, 665731100.00 ns, 158.7227 ns/op
WorkloadActual   3: 4194304 op, 679203800.00 ns, 161.9348 ns/op
WorkloadActual   4: 4194304 op, 660678800.00 ns, 157.5181 ns/op
WorkloadActual   5: 4194304 op, 666468600.00 ns, 158.8985 ns/op
WorkloadActual   6: 4194304 op, 665226000.00 ns, 158.6022 ns/op
WorkloadActual   7: 4194304 op, 660234300.00 ns, 157.4121 ns/op
WorkloadActual   8: 4194304 op, 659207300.00 ns, 157.1673 ns/op
WorkloadActual   9: 4194304 op, 672229700.00 ns, 160.2720 ns/op
WorkloadActual  10: 4194304 op, 679693700.00 ns, 162.0516 ns/op
WorkloadActual  11: 4194304 op, 656097000.00 ns, 156.4257 ns/op
WorkloadActual  12: 4194304 op, 674204400.00 ns, 160.7429 ns/op
WorkloadActual  13: 4194304 op, 665135000.00 ns, 158.5805 ns/op
WorkloadActual  14: 4194304 op, 657608200.00 ns, 156.7860 ns/op
WorkloadActual  15: 4194304 op, 654599700.00 ns, 156.0687 ns/op

WorkloadResult   1: 4194304 op, 644597600.00 ns, 153.6840 ns/op
WorkloadResult   2: 4194304 op, 646621200.00 ns, 154.1665 ns/op
WorkloadResult   3: 4194304 op, 660093900.00 ns, 157.3786 ns/op
WorkloadResult   4: 4194304 op, 641568900.00 ns, 152.9619 ns/op
WorkloadResult   5: 4194304 op, 647358700.00 ns, 154.3423 ns/op
WorkloadResult   6: 4194304 op, 646116100.00 ns, 154.0461 ns/op
WorkloadResult   7: 4194304 op, 641124400.00 ns, 152.8560 ns/op
WorkloadResult   8: 4194304 op, 640097400.00 ns, 152.6111 ns/op
WorkloadResult   9: 4194304 op, 653119800.00 ns, 155.7159 ns/op
WorkloadResult  10: 4194304 op, 660583800.00 ns, 157.4955 ns/op
WorkloadResult  11: 4194304 op, 636987100.00 ns, 151.8696 ns/op
WorkloadResult  12: 4194304 op, 655094500.00 ns, 156.1867 ns/op
WorkloadResult  13: 4194304 op, 646025100.00 ns, 154.0244 ns/op
WorkloadResult  14: 4194304 op, 638498300.00 ns, 152.2299 ns/op
WorkloadResult  15: 4194304 op, 635489800.00 ns, 151.5126 ns/op
GC:  23 0 0 436207768 4194304


Mean = 154.0721 ns, StdErr = 0.4865 ns (0.32%); N = 15, StdDev = 1.8842 ns
Min = 151.5126 ns, Q1 = 152.6111 ns, Median = 154.0244 ns, Q3 = 155.7159 ns, Max = 157.4955 ns
IQR = 3.1048 ns, LowerFence = 147.9539 ns, UpperFence = 160.3731 ns
ConfidenceInterval = [152.0577 ns; 156.0864 ns] (CI 99.9%), Margin = 2.0143 ns (1.31% of Mean)
Skewness = 0.5, Kurtosis = 1.96, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-DJHQMX(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 405900.00 ns, 405.9000 us/op
WorkloadJitting  1: 1 op, 4562400.00 ns, 4.5624 ms/op

OverheadJitting  2: 16 op, 883700.00 ns, 55.2313 us/op
WorkloadJitting  2: 16 op, 967200.00 ns, 60.4500 us/op

WorkloadPilot    1: 16 op, 8000.00 ns, 500.0000 ns/op
WorkloadPilot    2: 32 op, 12400.00 ns, 387.5000 ns/op
WorkloadPilot    3: 64 op, 9000.00 ns, 140.6250 ns/op
WorkloadPilot    4: 128 op, 36400.00 ns, 284.3750 ns/op
WorkloadPilot    5: 256 op, 23200.00 ns, 90.6250 ns/op
WorkloadPilot    6: 512 op, 61500.00 ns, 120.1172 ns/op
WorkloadPilot    7: 1024 op, 99800.00 ns, 97.4609 ns/op
WorkloadPilot    8: 2048 op, 254300.00 ns, 124.1699 ns/op
WorkloadPilot    9: 4096 op, 366700.00 ns, 89.5264 ns/op
WorkloadPilot   10: 8192 op, 1016600.00 ns, 124.0967 ns/op
WorkloadPilot   11: 16384 op, 1511800.00 ns, 92.2729 ns/op
WorkloadPilot   12: 32768 op, 2601700.00 ns, 79.3976 ns/op
WorkloadPilot   13: 65536 op, 5110500.00 ns, 77.9800 ns/op
WorkloadPilot   14: 131072 op, 11154100.00 ns, 85.0990 ns/op
WorkloadPilot   15: 262144 op, 23921300.00 ns, 91.2525 ns/op
WorkloadPilot   16: 524288 op, 44999300.00 ns, 85.8294 ns/op
WorkloadPilot   17: 1048576 op, 95074600.00 ns, 90.6702 ns/op
WorkloadPilot   18: 2097152 op, 187463300.00 ns, 89.3895 ns/op
WorkloadPilot   19: 4194304 op, 358339700.00 ns, 85.4348 ns/op
WorkloadPilot   20: 8388608 op, 707211200.00 ns, 84.3061 ns/op

OverheadWarmup   1: 8388608 op, 38323300.00 ns, 4.5685 ns/op
OverheadWarmup   2: 8388608 op, 38927400.00 ns, 4.6405 ns/op
OverheadWarmup   3: 8388608 op, 38470900.00 ns, 4.5861 ns/op
OverheadWarmup   4: 8388608 op, 39967300.00 ns, 4.7645 ns/op
OverheadWarmup   5: 8388608 op, 39260200.00 ns, 4.6802 ns/op

OverheadActual   1: 8388608 op, 39313700.00 ns, 4.6866 ns/op
OverheadActual   2: 8388608 op, 38974500.00 ns, 4.6461 ns/op
OverheadActual   3: 8388608 op, 38861300.00 ns, 4.6326 ns/op
OverheadActual   4: 8388608 op, 39266700.00 ns, 4.6810 ns/op
OverheadActual   5: 8388608 op, 38408500.00 ns, 4.5786 ns/op
OverheadActual   6: 8388608 op, 39238900.00 ns, 4.6776 ns/op
OverheadActual   7: 8388608 op, 39808100.00 ns, 4.7455 ns/op
OverheadActual   8: 8388608 op, 39486200.00 ns, 4.7071 ns/op
OverheadActual   9: 8388608 op, 38094400.00 ns, 4.5412 ns/op
OverheadActual  10: 8388608 op, 38385500.00 ns, 4.5759 ns/op
OverheadActual  11: 8388608 op, 39213800.00 ns, 4.6746 ns/op
OverheadActual  12: 8388608 op, 39608900.00 ns, 4.7217 ns/op
OverheadActual  13: 8388608 op, 38657100.00 ns, 4.6083 ns/op
OverheadActual  14: 8388608 op, 38415100.00 ns, 4.5794 ns/op
OverheadActual  15: 8388608 op, 38834200.00 ns, 4.6294 ns/op

WorkloadWarmup   1: 8388608 op, 742384500.00 ns, 88.4991 ns/op
WorkloadWarmup   2: 8388608 op, 739026400.00 ns, 88.0988 ns/op
WorkloadWarmup   3: 8388608 op, 743584200.00 ns, 88.6421 ns/op
WorkloadWarmup   4: 8388608 op, 748937000.00 ns, 89.2802 ns/op
WorkloadWarmup   5: 8388608 op, 740812100.00 ns, 88.3117 ns/op
WorkloadWarmup   6: 8388608 op, 862300000.00 ns, 102.7942 ns/op
WorkloadWarmup   7: 8388608 op, 742531600.00 ns, 88.5167 ns/op

WorkloadActual   1: 8388608 op, 725850000.00 ns, 86.5281 ns/op
WorkloadActual   2: 8388608 op, 714614300.00 ns, 85.1887 ns/op
WorkloadActual   3: 8388608 op, 712787600.00 ns, 84.9709 ns/op
WorkloadActual   4: 8388608 op, 721852300.00 ns, 86.0515 ns/op
WorkloadActual   5: 8388608 op, 712179200.00 ns, 84.8984 ns/op
WorkloadActual   6: 8388608 op, 715653100.00 ns, 85.3125 ns/op
WorkloadActual   7: 8388608 op, 719877400.00 ns, 85.8161 ns/op
WorkloadActual   8: 8388608 op, 721967300.00 ns, 86.0652 ns/op
WorkloadActual   9: 8388608 op, 716584000.00 ns, 85.4235 ns/op
WorkloadActual  10: 8388608 op, 720248900.00 ns, 85.8604 ns/op
WorkloadActual  11: 8388608 op, 707653300.00 ns, 84.3588 ns/op
WorkloadActual  12: 8388608 op, 729994900.00 ns, 87.0222 ns/op
WorkloadActual  13: 8388608 op, 734091500.00 ns, 87.5105 ns/op
WorkloadActual  14: 8388608 op, 728999200.00 ns, 86.9035 ns/op
WorkloadActual  15: 8388608 op, 719451000.00 ns, 85.7652 ns/op

WorkloadResult   1: 8388608 op, 686875500.00 ns, 81.8819 ns/op
WorkloadResult   2: 8388608 op, 675639800.00 ns, 80.5425 ns/op
WorkloadResult   3: 8388608 op, 673813100.00 ns, 80.3248 ns/op
WorkloadResult   4: 8388608 op, 682877800.00 ns, 81.4054 ns/op
WorkloadResult   5: 8388608 op, 673204700.00 ns, 80.2523 ns/op
WorkloadResult   6: 8388608 op, 676678600.00 ns, 80.6664 ns/op
WorkloadResult   7: 8388608 op, 680902900.00 ns, 81.1700 ns/op
WorkloadResult   8: 8388608 op, 682992800.00 ns, 81.4191 ns/op
WorkloadResult   9: 8388608 op, 677609500.00 ns, 80.7773 ns/op
WorkloadResult  10: 8388608 op, 681274400.00 ns, 81.2142 ns/op
WorkloadResult  11: 8388608 op, 668678800.00 ns, 79.7127 ns/op
WorkloadResult  12: 8388608 op, 691020400.00 ns, 82.3761 ns/op
WorkloadResult  13: 8388608 op, 695117000.00 ns, 82.8644 ns/op
WorkloadResult  14: 8388608 op, 690024700.00 ns, 82.2574 ns/op
WorkloadResult  15: 8388608 op, 680476500.00 ns, 81.1191 ns/op
GC:  46 0 0 872415232 8388608


Mean = 81.1989 ns, StdErr = 0.2247 ns (0.28%); N = 15, StdDev = 0.8704 ns
Min = 79.7127 ns, Q1 = 80.5425 ns, Median = 81.1700 ns, Q3 = 81.8819 ns, Max = 82.8644 ns
IQR = 1.3394 ns, LowerFence = 78.5334 ns, UpperFence = 83.8910 ns
ConfidenceInterval = [80.2684 ns; 82.1294 ns] (CI 99.9%), Margin = 0.9305 ns (1.15% of Mean)
Skewness = 0.25, Kurtosis = 2.05, MValue = 2

Successfully reverted power plan (GUID: 381b4222-f694-41f0-9685-ff5bb260df2e FriendlyName: Balanced)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\ActorFrameworkBenchmarks.StringBenchmarks-report.csv
  BenchmarkDotNet.Artifacts\results\ActorFrameworkBenchmarks.StringBenchmarks-report-github.md
  BenchmarkDotNet.Artifacts\results\ActorFrameworkBenchmarks.StringBenchmarks-report.html

// * Detailed results *
StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain)
Runtime = ; GC = 
Mean = 79.1077 ns, StdErr = 0.1442 ns (0.18%); N = 13, StdDev = 0.5198 ns
Min = 78.2602 ns, Q1 = 78.6543 ns, Median = 79.0649 ns, Q3 = 79.5759 ns, Max = 79.9030 ns
IQR = 0.9216 ns, LowerFence = 77.2720 ns, UpperFence = 80.9582 ns
ConfidenceInterval = [78.4853 ns; 79.7302 ns] (CI 99.9%), Margin = 0.6225 ns (0.79% of Mean)
Skewness = -0.06, Kurtosis = 1.61, MValue = 2
-------------------- Histogram --------------------
[78.067 ns ; 80.097 ns) | @@@@@@@@@@@@@
---------------------------------------------------

StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain)
Runtime = ; GC = 
Mean = 154.0721 ns, StdErr = 0.4865 ns (0.32%); N = 15, StdDev = 1.8842 ns
Min = 151.5126 ns, Q1 = 152.6111 ns, Median = 154.0244 ns, Q3 = 155.7159 ns, Max = 157.4955 ns
IQR = 3.1048 ns, LowerFence = 147.9539 ns, UpperFence = 160.3731 ns
ConfidenceInterval = [152.0577 ns; 156.0864 ns] (CI 99.9%), Margin = 2.0143 ns (1.31% of Mean)
Skewness = 0.5, Kurtosis = 1.96, MValue = 2
-------------------- Histogram --------------------
[150.844 ns ; 158.164 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain)
Runtime = ; GC = 
Mean = 81.1989 ns, StdErr = 0.2247 ns (0.28%); N = 15, StdDev = 0.8704 ns
Min = 79.7127 ns, Q1 = 80.5425 ns, Median = 81.1700 ns, Q3 = 81.8819 ns, Max = 82.8644 ns
IQR = 1.3394 ns, LowerFence = 78.5334 ns, UpperFence = 83.8910 ns
ConfidenceInterval = [80.2684 ns; 82.1294 ns] (CI 99.9%), Margin = 0.9305 ns (1.15% of Mean)
Skewness = 0.25, Kurtosis = 2.05, MValue = 2
-------------------- Histogram --------------------
[79.404 ns ; 83.173 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.17134.706 (1803/April2018Update/Redstone4)
Intel Core i7-7700HQ CPU 2.80GHz (Kaby Lake), 1 CPU, 8 logical and 4 physical cores
.NET Core SDK=3.0.100-preview4-011223
  [Host] : .NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT

Job=InProcess  Toolchain=InProcessEmitToolchain  

|                  Method |      Mean |     Error |    StdDev | Ratio | RatioSD |  Gen 0 | Gen 1 | Gen 2 | Allocated |
|------------------------ |----------:|----------:|----------:|------:|--------:|-------:|------:|------:|----------:|
|           ToString_Base |  79.11 ns | 0.6225 ns | 0.5198 ns |  1.00 |    0.00 | 0.0055 |     - |     - |     104 B |
|           ToString_Pool | 154.07 ns | 2.0143 ns | 1.8842 ns |  1.95 |    0.02 | 0.0055 |     - |     - |     104 B |
| ToString_ExistingBuffer |  81.20 ns | 0.9305 ns | 0.8704 ns |  1.03 |    0.01 | 0.0055 |     - |     - |     104 B |

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Ratio     : Mean of the ratio distribution ([Current]/[Baseline])
  RatioSD   : Standard deviation of the ratio distribution ([Current]/[Baseline])
  Gen 0     : GC Generation 0 collects per 1000 operations
  Gen 1     : GC Generation 1 collects per 1000 operations
  Gen 2     : GC Generation 2 collects per 1000 operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ns      : 1 Nanosecond (0.000000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:57 (57.03 sec), executed benchmarks: 3

Global total time: 00:00:57 (57.18 sec), executed benchmarks: 3
// * Artifacts cleanup *
