// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.14 sec)   *****
// Found 8 benchmarks:
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_ExistingBuffer_Ext: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
//   StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_ExistingBuffer_Ext: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]
//   StringBenchmarks.ToString_ExistingBuffer: InProcess(Toolchain=InProcessEmitToolchain) [Test=<matc(...)list> [893]]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: StringBenchmarks.ToString_Base: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-YBYMHM(Toolchain=InProcessEmitToolchain)

OverheadWarmup   1: 8388608 op, 37901700.00 ns, 4.5182 ns/op
OverheadWarmup   2: 8388608 op, 38252200.00 ns, 4.5600 ns/op
OverheadWarmup   3: 8388608 op, 37938500.00 ns, 4.5226 ns/op
OverheadWarmup   4: 8388608 op, 38057800.00 ns, 4.5368 ns/op
OverheadWarmup   5: 8388608 op, 37701300.00 ns, 4.4943 ns/op

OverheadActual   1: 8388608 op, 37688900.00 ns, 4.4929 ns/op
OverheadActual   2: 8388608 op, 37920700.00 ns, 4.5205 ns/op
OverheadActual   3: 8388608 op, 37990200.00 ns, 4.5288 ns/op
OverheadActual   4: 8388608 op, 38591100.00 ns, 4.6004 ns/op
OverheadActual   5: 8388608 op, 38298200.00 ns, 4.5655 ns/op
OverheadActual   6: 8388608 op, 38359800.00 ns, 4.5728 ns/op
OverheadActual   7: 8388608 op, 38359800.00 ns, 4.5728 ns/op
OverheadActual   8: 8388608 op, 38006700.00 ns, 4.5308 ns/op
OverheadActual   9: 8388608 op, 37442800.00 ns, 4.4635 ns/op
OverheadActual  10: 8388608 op, 37642000.00 ns, 4.4873 ns/op
OverheadActual  11: 8388608 op, 39408900.00 ns, 4.6979 ns/op
OverheadActual  12: 8388608 op, 37706600.00 ns, 4.4950 ns/op
OverheadActual  13: 8388608 op, 37479400.00 ns, 4.4679 ns/op
OverheadActual  14: 8388608 op, 38213700.00 ns, 4.5554 ns/op
OverheadActual  15: 8388608 op, 38267600.00 ns, 4.5619 ns/op

WorkloadWarmup   1: 8388608 op, 654768200.00 ns, 78.0545 ns/op
WorkloadWarmup   2: 8388608 op, 658457700.00 ns, 78.4943 ns/op
WorkloadWarmup   3: 8388608 op, 656283400.00 ns, 78.2351 ns/op
WorkloadWarmup   4: 8388608 op, 656535200.00 ns, 78.2651 ns/op
WorkloadWarmup   5: 8388608 op, 665198800.00 ns, 79.2979 ns/op
WorkloadWarmup   6: 8388608 op, 654232600.00 ns, 77.9906 ns/op

WorkloadActual   1: 8388608 op, 657156800.00 ns, 78.3392 ns/op
WorkloadActual   2: 8388608 op, 661015300.00 ns, 78.7992 ns/op
WorkloadActual   3: 8388608 op, 655598800.00 ns, 78.1535 ns/op
WorkloadActual   4: 8388608 op, 670669500.00 ns, 79.9500 ns/op
WorkloadActual   5: 8388608 op, 659604800.00 ns, 78.6310 ns/op
WorkloadActual   6: 8388608 op, 672380100.00 ns, 80.1540 ns/op
WorkloadActual   7: 8388608 op, 662048700.00 ns, 78.9224 ns/op
WorkloadActual   8: 8388608 op, 658266600.00 ns, 78.4715 ns/op
WorkloadActual   9: 8388608 op, 658673700.00 ns, 78.5200 ns/op
WorkloadActual  10: 8388608 op, 662726000.00 ns, 79.0031 ns/op
WorkloadActual  11: 8388608 op, 668121200.00 ns, 79.6463 ns/op
WorkloadActual  12: 8388608 op, 660628200.00 ns, 78.7530 ns/op
WorkloadActual  13: 8388608 op, 662281500.00 ns, 78.9501 ns/op
WorkloadActual  14: 8388608 op, 663139200.00 ns, 79.0524 ns/op
WorkloadActual  15: 8388608 op, 668709800.00 ns, 79.7164 ns/op

WorkloadResult   1: 8388608 op, 619150100.00 ns, 73.8084 ns/op
WorkloadResult   2: 8388608 op, 623008600.00 ns, 74.2684 ns/op
WorkloadResult   3: 8388608 op, 617592100.00 ns, 73.6227 ns/op
WorkloadResult   4: 8388608 op, 632662800.00 ns, 75.4193 ns/op
WorkloadResult   5: 8388608 op, 621598100.00 ns, 74.1003 ns/op
WorkloadResult   6: 8388608 op, 634373400.00 ns, 75.6232 ns/op
WorkloadResult   7: 8388608 op, 624042000.00 ns, 74.3916 ns/op
WorkloadResult   8: 8388608 op, 620259900.00 ns, 73.9407 ns/op
WorkloadResult   9: 8388608 op, 620667000.00 ns, 73.9893 ns/op
WorkloadResult  10: 8388608 op, 624719300.00 ns, 74.4723 ns/op
WorkloadResult  11: 8388608 op, 630114500.00 ns, 75.1155 ns/op
WorkloadResult  12: 8388608 op, 622621500.00 ns, 74.2223 ns/op
WorkloadResult  13: 8388608 op, 624274800.00 ns, 74.4194 ns/op
WorkloadResult  14: 8388608 op, 625132500.00 ns, 74.5216 ns/op
WorkloadResult  15: 8388608 op, 630703100.00 ns, 75.1857 ns/op
GC:  46 0 0 872415232 8388608


Mean = 74.4734 ns, StdErr = 0.1555 ns (0.21%); N = 15, StdDev = 0.6022 ns
Min = 73.6227 ns, Q1 = 73.9893 ns, Median = 74.3916 ns, Q3 = 75.1155 ns, Max = 75.6232 ns
IQR = 1.1262 ns, LowerFence = 72.2999 ns, UpperFence = 76.8048 ns
ConfidenceInterval = [73.8296 ns; 75.1171 ns] (CI 99.9%), Margin = 0.6438 ns (0.86% of Mean)
Skewness = 0.53, Kurtosis = 1.95, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_Pool: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-YBYMHM(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 472800.00 ns, 472.8000 us/op
WorkloadJitting  1: 1 op, 5115600.00 ns, 5.1156 ms/op

OverheadJitting  2: 16 op, 1160200.00 ns, 72.5125 us/op
WorkloadJitting  2: 16 op, 1008900.00 ns, 63.0563 us/op

WorkloadPilot    1: 16 op, 36900.00 ns, 2.3062 us/op
WorkloadPilot    2: 32 op, 29800.00 ns, 931.2500 ns/op
WorkloadPilot    3: 64 op, 44000.00 ns, 687.5000 ns/op
WorkloadPilot    4: 128 op, 34400.00 ns, 268.7500 ns/op
WorkloadPilot    5: 256 op, 83200.00 ns, 325.0000 ns/op
WorkloadPilot    6: 512 op, 134200.00 ns, 262.1094 ns/op
WorkloadPilot    7: 1024 op, 193700.00 ns, 189.1602 ns/op
WorkloadPilot    8: 2048 op, 397500.00 ns, 194.0918 ns/op
WorkloadPilot    9: 4096 op, 760400.00 ns, 185.6445 ns/op
WorkloadPilot   10: 8192 op, 1483400.00 ns, 181.0791 ns/op
WorkloadPilot   11: 16384 op, 3017000.00 ns, 184.1431 ns/op
WorkloadPilot   12: 32768 op, 5638700.00 ns, 172.0795 ns/op
WorkloadPilot   13: 65536 op, 11602100.00 ns, 177.0340 ns/op
WorkloadPilot   14: 131072 op, 22115400.00 ns, 168.7271 ns/op
WorkloadPilot   15: 262144 op, 45341300.00 ns, 172.9633 ns/op
WorkloadPilot   16: 524288 op, 85782300.00 ns, 163.6168 ns/op
WorkloadPilot   17: 1048576 op, 167891600.00 ns, 160.1139 ns/op
WorkloadPilot   18: 2097152 op, 336277800.00 ns, 160.3498 ns/op
WorkloadPilot   19: 4194304 op, 675712300.00 ns, 161.1024 ns/op

OverheadWarmup   1: 4194304 op, 22944100.00 ns, 5.4703 ns/op
OverheadWarmup   2: 4194304 op, 20189600.00 ns, 4.8136 ns/op
OverheadWarmup   3: 4194304 op, 19028500.00 ns, 4.5367 ns/op
OverheadWarmup   4: 4194304 op, 19121200.00 ns, 4.5588 ns/op
OverheadWarmup   5: 4194304 op, 18962400.00 ns, 4.5210 ns/op
OverheadWarmup   6: 4194304 op, 20078500.00 ns, 4.7871 ns/op
OverheadWarmup   7: 4194304 op, 19347800.00 ns, 4.6129 ns/op

OverheadActual   1: 4194304 op, 19412800.00 ns, 4.6284 ns/op
OverheadActual   2: 4194304 op, 19289800.00 ns, 4.5990 ns/op
OverheadActual   3: 4194304 op, 19386600.00 ns, 4.6221 ns/op
OverheadActual   4: 4194304 op, 19759900.00 ns, 4.7111 ns/op
OverheadActual   5: 4194304 op, 20159100.00 ns, 4.8063 ns/op
OverheadActual   6: 4194304 op, 21520500.00 ns, 5.1309 ns/op
OverheadActual   7: 4194304 op, 19288000.00 ns, 4.5986 ns/op
OverheadActual   8: 4194304 op, 19146900.00 ns, 4.5650 ns/op
OverheadActual   9: 4194304 op, 19964900.00 ns, 4.7600 ns/op
OverheadActual  10: 4194304 op, 18883300.00 ns, 4.5021 ns/op
OverheadActual  11: 4194304 op, 19153700.00 ns, 4.5666 ns/op
OverheadActual  12: 4194304 op, 19369100.00 ns, 4.6180 ns/op
OverheadActual  13: 4194304 op, 19070300.00 ns, 4.5467 ns/op
OverheadActual  14: 4194304 op, 18967200.00 ns, 4.5221 ns/op
OverheadActual  15: 4194304 op, 19033000.00 ns, 4.5378 ns/op

WorkloadWarmup   1: 4194304 op, 676266200.00 ns, 161.2344 ns/op
WorkloadWarmup   2: 4194304 op, 656625300.00 ns, 156.5517 ns/op
WorkloadWarmup   3: 4194304 op, 660048800.00 ns, 157.3679 ns/op
WorkloadWarmup   4: 4194304 op, 650534400.00 ns, 155.0995 ns/op
WorkloadWarmup   5: 4194304 op, 650332500.00 ns, 155.0514 ns/op
WorkloadWarmup   6: 4194304 op, 656380000.00 ns, 156.4932 ns/op
WorkloadWarmup   7: 4194304 op, 653675800.00 ns, 155.8485 ns/op

WorkloadActual   1: 4194304 op, 653905500.00 ns, 155.9032 ns/op
WorkloadActual   2: 4194304 op, 722064900.00 ns, 172.1537 ns/op
WorkloadActual   3: 4194304 op, 779955900.00 ns, 185.9560 ns/op
WorkloadActual   4: 4194304 op, 801056100.00 ns, 190.9867 ns/op
WorkloadActual   5: 4194304 op, 785676600.00 ns, 187.3199 ns/op
WorkloadActual   6: 4194304 op, 782625300.00 ns, 186.5924 ns/op
WorkloadActual   7: 4194304 op, 783404200.00 ns, 186.7781 ns/op
WorkloadActual   8: 4194304 op, 791168300.00 ns, 188.6292 ns/op
WorkloadActual   9: 4194304 op, 782175800.00 ns, 186.4852 ns/op
WorkloadActual  10: 4194304 op, 785017700.00 ns, 187.1628 ns/op
WorkloadActual  11: 4194304 op, 778580600.00 ns, 185.6281 ns/op
WorkloadActual  12: 4194304 op, 783991500.00 ns, 186.9181 ns/op
WorkloadActual  13: 4194304 op, 777170100.00 ns, 185.2918 ns/op
WorkloadActual  14: 4194304 op, 784981900.00 ns, 187.1543 ns/op
WorkloadActual  15: 4194304 op, 783333800.00 ns, 186.7613 ns/op
WorkloadActual  16: 4194304 op, 853679600.00 ns, 203.5331 ns/op
WorkloadActual  17: 4194304 op, 784651100.00 ns, 187.0754 ns/op
WorkloadActual  18: 4194304 op, 782694600.00 ns, 186.6089 ns/op
WorkloadActual  19: 4194304 op, 781759200.00 ns, 186.3859 ns/op
WorkloadActual  20: 4194304 op, 790653900.00 ns, 188.5066 ns/op
WorkloadActual  21: 4194304 op, 787129400.00 ns, 187.6663 ns/op
WorkloadActual  22: 4194304 op, 787381400.00 ns, 187.7264 ns/op
WorkloadActual  23: 4194304 op, 780084900.00 ns, 185.9867 ns/op
WorkloadActual  24: 4194304 op, 787049200.00 ns, 187.6472 ns/op
WorkloadActual  25: 4194304 op, 784465200.00 ns, 187.0311 ns/op
WorkloadActual  26: 4194304 op, 781648600.00 ns, 186.3595 ns/op
WorkloadActual  27: 4194304 op, 784582600.00 ns, 187.0591 ns/op
WorkloadActual  28: 4194304 op, 783722100.00 ns, 186.8539 ns/op
WorkloadActual  29: 4194304 op, 784217700.00 ns, 186.9721 ns/op
WorkloadActual  30: 4194304 op, 792239500.00 ns, 188.8846 ns/op
WorkloadActual  31: 4194304 op, 785140200.00 ns, 187.1920 ns/op
WorkloadActual  32: 4194304 op, 832970400.00 ns, 198.5956 ns/op
WorkloadActual  33: 4194304 op, 799961500.00 ns, 190.7257 ns/op
WorkloadActual  34: 4194304 op, 788054200.00 ns, 187.8868 ns/op
WorkloadActual  35: 4194304 op, 780514300.00 ns, 186.0891 ns/op
WorkloadActual  36: 4194304 op, 781893000.00 ns, 186.4178 ns/op
WorkloadActual  37: 4194304 op, 783922500.00 ns, 186.9017 ns/op
WorkloadActual  38: 4194304 op, 779534800.00 ns, 185.8556 ns/op

WorkloadResult   1: 4194304 op, 634615700.00 ns, 151.3042 ns/op
WorkloadResult   2: 4194304 op, 702775100.00 ns, 167.5546 ns/op
WorkloadResult   3: 4194304 op, 760666100.00 ns, 181.3569 ns/op
WorkloadResult   4: 4194304 op, 766386800.00 ns, 182.7209 ns/op
WorkloadResult   5: 4194304 op, 763335500.00 ns, 181.9934 ns/op
WorkloadResult   6: 4194304 op, 764114400.00 ns, 182.1791 ns/op
WorkloadResult   7: 4194304 op, 771878500.00 ns, 184.0302 ns/op
WorkloadResult   8: 4194304 op, 762886000.00 ns, 181.8862 ns/op
WorkloadResult   9: 4194304 op, 765727900.00 ns, 182.5638 ns/op
WorkloadResult  10: 4194304 op, 759290800.00 ns, 181.0290 ns/op
WorkloadResult  11: 4194304 op, 764701700.00 ns, 182.3191 ns/op
WorkloadResult  12: 4194304 op, 757880300.00 ns, 180.6927 ns/op
WorkloadResult  13: 4194304 op, 765692100.00 ns, 182.5552 ns/op
WorkloadResult  14: 4194304 op, 764044000.00 ns, 182.1623 ns/op
WorkloadResult  15: 4194304 op, 765361300.00 ns, 182.4764 ns/op
WorkloadResult  16: 4194304 op, 763404800.00 ns, 182.0099 ns/op
WorkloadResult  17: 4194304 op, 762469400.00 ns, 181.7869 ns/op
WorkloadResult  18: 4194304 op, 771364100.00 ns, 183.9075 ns/op
WorkloadResult  19: 4194304 op, 767839600.00 ns, 183.0672 ns/op
WorkloadResult  20: 4194304 op, 768091600.00 ns, 183.1273 ns/op
WorkloadResult  21: 4194304 op, 760795100.00 ns, 181.3877 ns/op
WorkloadResult  22: 4194304 op, 767759400.00 ns, 183.0481 ns/op
WorkloadResult  23: 4194304 op, 765175400.00 ns, 182.4320 ns/op
WorkloadResult  24: 4194304 op, 762358800.00 ns, 181.7605 ns/op
WorkloadResult  25: 4194304 op, 765292800.00 ns, 182.4600 ns/op
WorkloadResult  26: 4194304 op, 764432300.00 ns, 182.2549 ns/op
WorkloadResult  27: 4194304 op, 764927900.00 ns, 182.3730 ns/op
WorkloadResult  28: 4194304 op, 772949700.00 ns, 184.2856 ns/op
WorkloadResult  29: 4194304 op, 765850400.00 ns, 182.5930 ns/op
WorkloadResult  30: 4194304 op, 768764400.00 ns, 183.2877 ns/op
WorkloadResult  31: 4194304 op, 761224500.00 ns, 181.4901 ns/op
WorkloadResult  32: 4194304 op, 762603200.00 ns, 181.8188 ns/op
WorkloadResult  33: 4194304 op, 764632700.00 ns, 182.3026 ns/op
WorkloadResult  34: 4194304 op, 760245000.00 ns, 181.2565 ns/op
GC:  23 0 0 436207616 4194304


Mean = 180.9845 ns, StdErr = 1.0084 ns (0.56%); N = 34, StdDev = 5.8800 ns
Min = 151.3042 ns, Q1 = 181.7605 ns, Median = 182.2788 ns, Q3 = 182.5930 ns, Max = 184.2856 ns
IQR = 0.8325 ns, LowerFence = 180.5118 ns, UpperFence = 183.8417 ns
ConfidenceInterval = [177.3432 ns; 184.6258 ns] (CI 99.9%), Margin = 3.6413 ns (2.01% of Mean)
Skewness = -4.11, Kurtosis = 19.9, MValue = 2

// **************************
// Benchmark: StringBenchmarks.ToString_ExistingBuffer_Ext: InProcess(Toolchain=InProcessEmitToolchain) [Test=<keep(...)9" /> [40]]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-YBYMHM(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 803000.00 ns, 803.0000 us/op
WorkloadJitting  1: 1 op, 4553100.00 ns, 4.5531 ms/op

OverheadJitting  2: 16 op, 1029900.00 ns, 64.3688 us/op
WorkloadJitting  2: 16 op, 1042300.00 ns, 65.1437 us/op

WorkloadPilot    1: 16 op, 23600.00 ns, 1.4750 us/op
WorkloadPilot    2: 32 op, 10000.00 ns, 312.5000 ns/op
WorkloadPilot    3: 64 op, 12200.00 ns, 190.6250 ns/op
WorkloadPilot    4: 128 op, 32700.00 ns, 255.4688 ns/op
WorkloadPilot    5: 256 op, 53300.00 ns, 208.2031 ns/op
WorkloadPilot    6: 512 op, 61500.00 ns, 120.1172 ns/op
WorkloadPilot    7: 1024 op, 104300.00 ns, 101.8555 ns/op
WorkloadPilot    8: 2048 op, 205600.00 ns, 100.3906 ns/op
WorkloadPilot    9: 4096 op, 430300.00 ns, 105.0537 ns/op
WorkloadPilot   10: 8192 op, 741800.00 ns, 90.5518 ns/op
WorkloadPilot   11: 16384 op, 1465400.00 ns, 89.4409 ns/op
WorkloadPilot   12: 32768 op, 3095700.00 ns, 94.4733 ns/op
WorkloadPilot   13: 65536 op, 6043800.00 ns, 92.2211 ns/op
WorkloadPilot   14: 131072 op, 12129200.00 ns, 92.5385 ns/op
WorkloadPilot   15: 262144 op, 24859400.00 ns, 94.8311 ns/op
WorkloadPilot   16: 524288 op, 50864900.00 ns, 97.0171 ns/op
WorkloadPilot   17: 1048576 op, 99337600.00 ns, 94.7357 ns/op
WorkloadPilot   18: 2097152 op, 198539700.00 ns, 94.6711 ns/op
WorkloadPilot   19: 4194304 op, 398565500.00 ns, 95.0254 ns/op
WorkloadPilot   20: 8388608 op, 795850400.00 ns, 94.8728 ns/op

OverheadWarmup   1: 8388608 op, 45479400.00 ns, 5.4216 ns/op
OverheadWarmup   2: 8388608 op, 45069600.00 ns, 5.3727 ns/op
OverheadWarmup   3: 8388608 op, 45051400.00 ns, 5.3705 ns/op
OverheadWarmup   4: 8388608 op, 45973900.00 ns, 5.4805 ns/op
OverheadWarmup   5: 8388608 op, 45051000.00 ns, 5.3705 ns/op
OverheadWarmup   6: 8388608 op, 45090700.00 ns, 5.3752 ns/op
OverheadWarmup   7: 8388608 op, 45139400.00 ns, 5.3810 ns/op
OverheadWarmup   8: 8388608 op, 45030400.00 ns, 5.3680 ns/op

OverheadActual   1: 8388608 op, 45097400.00 ns, 5.3760 ns/op
OverheadActual   2: 8388608 op, 45175600.00 ns, 5.3854 ns/op
OverheadActual   3: 8388608 op, 45023600.00 ns, 5.3672 ns/op
OverheadActual   4: 8388608 op, 45058300.00 ns, 5.3714 ns/op
OverheadActual   5: 8388608 op, 46111800.00 ns, 5.4970 ns/op
OverheadActual   6: 8388608 op, 45054000.00 ns, 5.3709 ns/op
OverheadActual   7: 8388608 op, 44897400.00 ns, 5.3522 ns/op
OverheadActual   8: 8388608 op, 45022900.00 ns, 5.3671 ns/op
OverheadActual   9: 8388608 op, 45213900.00 ns, 5.3899 ns/op
OverheadActual  10: 8388608 op, 45028900.00 ns, 5.3679 ns/op
OverheadActual  11: 8388608 op, 45040000.00 ns, 5.3692 ns/op
OverheadActual  12: 8388608 op, 45025000.00 ns, 5.3674 ns/op
OverheadActual  13: 8388608 op, 45068600.00 ns, 5.3726 ns/op
OverheadActual  14: 8388608 op, 45007300.00 ns, 5.3653 ns/op
OverheadActual  15: 8388608 op, 45023500.00 ns, 5.3672 ns/op

WorkloadWarmup   1: 8388608 op, 774431700.00 ns, 92.3195 ns/op
WorkloadWarmup   2: 8388608 op, 767302100.00 ns, 91.4695 ns/op
WorkloadWarmup   3: 8388608 op, 780730600.00 ns, 93.0703 ns/op
WorkloadWarmup   4: 8388608 op, 771788900.00 ns, 92.0044 ns/op
WorkloadWarmup   5: 8388608 op, 767529000.00 ns, 91.4966 ns/op
WorkloadWarmup   6: 8388608 op, 763535000.00 ns, 91.0205 ns/op
WorkloadWarmup   7: 8388608 op, 765749400.00 ns, 91.2844 ns/op
WorkloadWarmup   8: 8388608 op, 766723300.00 ns, 91.4005 ns/op
WorkloadWarmup   9: 8388608 op, 777665200.00 ns, 92.7049 ns/op
WorkloadWarmup  10: 8388608 op, 769847300.00 ns, 91.7729 ns/op

WorkloadActual   1: 8388608 op, 767349900.00 ns, 91.4752 ns/op
WorkloadActual   2: 8388608 op, 767198400.00 ns, 91.4572 ns/op
WorkloadActual   3: 8388608 op, 769471900.00 ns, 91.7282 ns/op
WorkloadActual   4: 8388608 op, 761847400.00 ns, 90.8193 ns/op
WorkloadActual   5: 8388608 op, 771255000.00 ns, 91.9408 ns/op
WorkloadActual   6: 8388608 op, 795337500.00 ns, 94.8116 ns/op
WorkloadActual   7: 8388608 op, 762767100.00 ns, 90.9289 ns/op
WorkloadActual   8: 8388608 op, 773706400.00 ns, 92.2330 ns/op
WorkloadActual   9: 8388608 op, 765924400.00 ns, 91.3053 ns/op
WorkloadActual  10: 8388608 op, 769563000.00 ns, 91.7391 ns/op
WorkloadActual  11: 8388608 op, 772094100.00 ns, 92.0408 ns/op
WorkloadActual  12: 8388608 op, 770833500.00 ns, 91.8905 ns/op
WorkloadActual  13: 8388608 op, 765352200.00 ns, 91.2371 ns/op
WorkloadActual  14: 8388608 op, 766269200.00 ns, 91.3464 ns/op
WorkloadActual  15: 8388608 op, 764583400.00 ns, 91.1454 ns/op

WorkloadResult   1: 8388608 op, 722309900.00 ns, 86.1061 ns/op
WorkloadResult   2: 8388608 op, 722158400.00 ns, 86.0880 ns/op
WorkloadResult   3: 8388608 op, 724431900.00 ns, 86.3590 ns/op
WorkloadResult   4: 8388608 op, 716807400.00 ns, 85.4501 ns/op
WorkloadResult   5: 8388608 op, 726215000.00 ns, 86.5716 ns/op
WorkloadResult   6: 8388608 op, 717727100.00 ns, 85.5597 ns/op
WorkloadResult   7: 8388608 op, 728666400.00 ns, 86.8638 ns/op
WorkloadResult   8: 8388608 op, 720884400.00 ns, 85.9361 ns/op
WorkloadResult   9: 8388608 op, 724523000.00 ns, 86.3699 ns/op
WorkloadResult  10: 8388608 op, 727054100.00 ns, 86.6716 ns/op
WorkloadResult  11: 8388608 op, 725793500.00 ns, 86.5213 ns/op
WorkloadResult  12: 8388608 op, 720312200.00 ns, 85.8679 ns/op
WorkloadResult  13: 8388608 op, 721229200.00 ns, 85.9772 ns/op
WorkloadResult  14: 8388608 op, 719543400.00 ns, 85.7763 ns/op
GC:  46 0 0 872415232 8388608


Mean = 86.1513 ns, StdErr = 0.1131 ns (0.13%); N = 14, StdDev = 0.4232 ns
Min = 85.4501 ns, Q1 = 85.8679 ns, Median = 86.0970 ns, Q3 = 86.5213 ns, Max = 86.8638 ns
IQR = 0.6534 ns, LowerFence = 84.8878 ns, UpperFence = 87.5015 ns
